dataset,method,graph_seed,training_seed,source_relation_id,source_relation_name,source_src_type,source_dst_type,official_relation_id,official_relation_name,official_src_type,official_dst_type,relation_pair_name,reciprocal_official_relation_id,reciprocal_official_relation_name,source_edge_count,original_full_edge_count,candidate_edge_count_after_node_pruning,retained_edge_count,retention_vs_candidate,retention_vs_full,requested_relation_budget,actual_relation_budget,reciprocal_count_consistent,min_edges_constraint_active,relation_dropped_flag,canonical_method
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,8737,19645,17474,8737,0.5,0.4447442097225757,8737,8737,False,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,False,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,23024,85810,76748,23024,0.2999947881378016,0.2683137163500757,23024,23024,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,23024,85810,76748,23024,0.2999947881378016,0.2683137163500757,23024,23024,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,8737,19645,17474,8737,0.5,0.4447442097225757,8737,8737,False,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,False,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,23024,85810,76748,23024,0.2999947881378016,0.2683137163500757,23024,23024,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,23024,85810,76748,23024,0.2999947881378016,0.2683137163500757,23024,23024,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-AP50-PA100-PTTP30-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT100-TP00-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,1,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,2,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,2,paper__to__venue,P,V,3,PV,P,V,PV_VP,5,VP,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,4,term__to__paper,T,P,4,TP,T,P,PT_TP,2,PT,76748,85810,76748,76748,1.0,0.8943945927048129,76748,76748,False,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,2,3,5,venue__to__paper,V,P,5,VP,V,P,PV_VP,3,PV,3598,14328,3598,3598,1.0,0.25111669458403124,3598,3598,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,3,1,0,author__to__paper,A,P,0,AP,A,P,AP_PA,1,PA,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,3,1,3,paper__to__author,P,A,1,PA,P,A,AP_PA,0,AP,17474,19645,17474,17474,1.0,0.8894884194451514,17474,17474,True,False,False,H6-dir-APPA100-PT00-TP100-PVVP100
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,3,1,1,paper__to__term,P,T,2,PT,P,T,PT_TP,4,TP,1,85810,76748,1,1.3029655495908688e-05,1.165365342034728e-05,0,1,False,True,False,H6-dir-APPA100-PT00-TP100-PVVP100
